TeD,TrD1,TrD2,TrD3,TrD4,TrD5,TrD6,TrD7,TrD8,model,score,Sum
TeD1,0,0,1,0,0,0,1,0,M3,0.698803787487297,2
TeD1,1,1,1,1,1,1,1,1,M3,0.898199871597004,8
TeD1,1,1,1,1,1,1,1,1,M3,0.901183731241791,8
TeD1,1,1,1,1,1,1,1,1,M3,0.900859307447118,8
TeD1,1,1,1,1,1,1,1,1,M3,0.898801167738816,8
TeD1,1,1,1,1,1,1,1,1,M3,0.900579087583365,8
TeD2,1,1,0,0,0,1,0,0,M3,0.576214535561601,3
TeD2,1,1,1,0,1,1,1,0,M3,0.603342401865527,6
TeD2,0,1,1,0,0,0,0,0,M3,0.582899339292655,2
TeD2,0,0,1,0,0,0,0,1,M3,0.578080062184221,2
TeD2,0,1,0,1,1,1,1,1,M3,0.61095996890789,6
TeD2,1,0,1,0,0,1,0,0,M3,0.57209483093665,3
TeD2,1,0,1,1,1,1,0,1,M3,0.592615623785464,6
TeD2,1,1,1,0,1,1,0,1,M3,0.603497862417412,6
TeD2,0,0,0,0,0,1,1,0,M3,0.581344733773805,2
TeD2,1,0,0,0,0,1,0,0,M3,0.56393315196269,2
TeD2,0,1,0,0,1,0,1,0,M3,0.59844539448115,3
TeD2,1,0,1,1,1,1,1,1,M3,0.582666148464827,7
TeD2,1,1,0,0,0,0,0,0,M3,0.535950252623397,2
TeD2,0,1,1,0,1,1,0,0,M3,0.600777302759425,4
TeD2,0,0,0,0,0,1,0,1,M3,0.576914108045084,2
TeD2,0,1,0,0,0,1,0,1,M3,0.584220753983677,3
TeD2,0,0,1,1,1,1,1,1,M3,0.593159735717062,6
TeD2,0,0,0,0,1,1,0,0,M3,0.58087835211815,2
TeD2,0,1,0,0,0,0,0,1,M3,0.58904003109211,2
TeD2,0,1,0,0,1,1,1,0,M3,0.589117761368053,4
TeD2,0,1,0,0,0,1,0,0,M3,0.572949863972017,2
TeD2,0,1,0,1,0,1,0,1,M3,0.597745821997668,4
TeD2,1,1,0,0,1,0,0,0,M3,0.585619898950641,3
TeD2,0,1,0,0,1,1,0,1,M3,0.592615623785464,4
TeD2,0,0,1,0,0,1,0,1,M3,0.600155460551885,3
TeD2,0,1,0,1,0,1,0,0,M3,0.578701904391761,3
TeD2,1,1,1,1,1,0,1,0,M3,0.597046249514186,6
TeD2,0,1,1,0,0,0,1,0,M3,0.589817333851535,3
TeD2,1,1,0,1,1,0,1,1,M3,0.610182666148465,6
TeD2,0,1,1,0,0,1,1,0,M3,0.587874076952973,4
TeD2,1,1,1,1,1,0,1,1,M3,0.598523124757093,7
TeD2,1,1,1,0,0,1,1,1,M3,0.593859308200544,6
TeD2,1,0,1,0,0,0,0,0,M3,0.554760979401477,2
TeD2,1,0,1,1,1,0,0,0,M3,0.586397201710066,4
TeD2,0,1,0,0,0,0,1,0,M3,0.579246016323358,2
TeD2,1,1,1,0,0,1,0,0,M3,0.575825884181889,4
TeD2,0,1,1,1,1,1,1,1,M3,0.59183832102604,7
TeD2,0,1,1,0,1,1,0,1,M3,0.602331908278274,5
TeD2,0,0,1,0,0,1,0,0,M3,0.563855421686747,2
TeD2,0,1,1,1,0,1,0,0,M3,0.591294209094442,4
TeD2,0,1,0,0,0,0,1,1,M3,0.582355227361057,3
TeD2,1,0,0,1,0,0,0,0,M3,0.532374659930043,2
TeD2,1,1,1,0,0,0,0,0,M3,0.564554994170229,3
TeD2,0,1,1,0,1,1,1,0,M3,0.587485425573261,5
TeD2,0,1,0,0,1,0,0,0,M3,0.588729109988341,2
TeD2,1,1,1,1,1,1,0,1,M3,0.606607073455111,7
TeD2,0,1,1,0,1,0,0,1,M3,0.588884570540225,4
TeD2,0,1,1,0,0,1,0,0,M3,0.583754372328022,3
TeD2,1,0,1,1,1,1,0,0,M3,0.589739603575593,5
TeD2,0,1,0,0,1,1,0,0,M3,0.587485425573261,3
TeD2,0,1,0,0,0,1,1,0,M3,0.599300427516518,3
TeD2,1,0,1,1,0,0,1,1,M3,0.595724834823164,5
TeD2,1,1,0,1,0,1,1,1,M3,0.593703847648659,6
TeD2,1,1,0,0,1,1,0,0,M3,0.594325689856199,4
TeD2,0,0,1,0,1,0,0,0,M3,0.569374271278663,2
TeD2,0,0,0,1,1,0,0,1,M3,0.593859308200544,3
TeD2,0,1,1,0,0,0,0,1,M3,0.606296152351341,3
TeD2,1,1,1,1,1,1,1,0,M3,0.611815001943257,7
TeD2,0,1,0,0,0,1,1,1,M3,0.601476875242907,4
TeD2,0,0,0,0,1,0,0,1,M3,0.575204041974349,2
TeD2,1,0,1,1,0,0,0,0,M3,0.561290322580645,3
TeD2,1,0,1,1,0,1,1,1,M3,0.598600855033035,6
TeD2,1,1,0,1,0,0,0,0,M3,0.570307034589973,3
TeD2,0,1,0,1,0,0,0,0,M3,0.562534006995725,2
TeD2,1,1,0,0,0,0,0,1,M3,0.578468713563933,3
TeD2,0,0,1,1,1,0,1,1,M3,0.587951807228916,5
TeD2,0,0,1,0,0,0,1,0,M3,0.580411970462495,2
TeD2,1,1,1,1,1,1,1,1,M3,0.614380101049359,8
TeD2,1,1,1,1,1,1,1,1,M3,0.602876020209872,8
TeD2,1,1,1,1,1,1,1,1,M3,0.599300427516518,8
TeD2,1,1,1,1,1,1,1,1,M3,0.60093276331131,8
TeD2,1,1,1,1,1,1,1,1,M3,0.591760590750097,8
TeD3,1,1,0,0,0,1,0,0,M3,0.684244372990354,3
TeD3,1,1,1,0,1,1,1,0,M3,0.75048231511254,6
TeD3,0,1,1,0,0,0,0,0,M3,0.664951768488746,2
TeD3,0,0,1,0,0,0,0,1,M3,0.706109324758842,2
TeD3,0,1,0,1,1,1,1,1,M3,0.758842443729904,6
TeD3,1,0,1,0,0,1,0,0,M3,0.62572347266881,3
TeD3,1,0,1,1,1,1,0,1,M3,0.753054662379421,6
TeD3,1,1,1,0,1,1,0,1,M3,0.741479099678457,6
TeD3,0,0,0,0,0,1,1,0,M3,0.712540192926045,2
TeD3,1,0,0,0,0,1,0,0,M3,0.617363344051447,2
TeD3,0,1,0,0,1,0,1,0,M3,0.727974276527331,3
TeD3,1,0,1,1,1,1,1,1,M3,0.786495176848875,7
TeD3,1,1,0,0,0,0,0,0,M3,0.602572347266881,2
TeD3,0,1,1,0,1,1,0,0,M3,0.717684887459807,4
TeD3,0,0,0,0,0,1,0,1,M3,0.745980707395498,2
TeD3,0,1,0,0,0,1,0,1,M3,0.711897106109325,3
TeD3,0,0,1,1,1,1,1,1,M3,0.747909967845659,6
TeD3,0,0,0,0,1,1,0,0,M3,0.727331189710611,2
TeD3,0,1,0,0,0,0,0,1,M3,0.765273311897106,2
TeD3,0,1,0,0,1,1,1,0,M3,0.731832797427653,4
TeD3,0,1,0,0,0,1,0,0,M3,0.641800643086817,2
TeD3,0,1,0,1,0,1,0,1,M3,0.733762057877813,4
TeD3,1,1,0,0,1,0,0,0,M3,0.731189710610933,3
TeD3,0,1,0,0,1,1,0,1,M3,0.770418006430868,4
TeD3,0,0,1,0,0,1,0,1,M3,0.720257234726688,3
TeD3,0,1,0,1,0,1,0,0,M3,0.65016077170418,3
TeD3,1,1,1,1,1,0,1,0,M3,0.735691318327974,6
TeD3,0,1,1,0,0,0,1,0,M3,0.737620578778135,3
TeD3,1,1,0,1,1,0,1,1,M3,0.754983922829582,6
TeD3,0,1,1,0,0,1,1,0,M3,0.740836012861736,4
TeD3,1,1,1,1,1,0,1,1,M3,0.719614147909968,7
TeD3,1,1,1,0,0,1,1,1,M3,0.751125401929261,6
TeD3,1,0,1,0,0,0,0,0,M3,0.639228295819936,2
TeD3,1,0,1,1,1,0,0,0,M3,0.727974276527331,4
TeD3,0,1,0,0,0,0,1,0,M3,0.715755627009646,2
TeD3,1,1,1,0,0,1,0,0,M3,0.67459807073955,4
TeD3,0,1,1,1,1,1,1,1,M3,0.74855305466238,7
TeD3,0,1,1,0,1,1,0,1,M3,0.745980707395498,5
TeD3,0,0,1,0,0,1,0,0,M3,0.632797427652733,2
TeD3,0,1,1,1,0,1,0,0,M3,0.69967845659164,4
TeD3,0,1,0,0,0,0,1,1,M3,0.756270096463022,3
TeD3,1,0,0,1,0,0,0,0,M3,0.633440514469453,2
TeD3,1,1,1,0,0,0,0,0,M3,0.637299035369775,3
TeD3,0,1,1,0,1,1,1,0,M3,0.762700964630225,5
TeD3,0,1,0,0,1,0,0,0,M3,0.722186495176849,2
TeD3,1,1,1,1,1,1,0,1,M3,0.736977491961415,7
TeD3,0,1,1,0,1,0,0,1,M3,0.765916398713826,4
TeD3,0,1,1,0,0,1,0,0,M3,0.64951768488746,3
TeD3,1,0,1,1,1,1,0,0,M3,0.733118971061093,5
TeD3,0,1,0,0,1,1,0,0,M3,0.74983922829582,3
TeD3,0,1,0,0,0,1,1,0,M3,0.727331189710611,3
TeD3,1,0,1,1,0,0,1,1,M3,0.74983922829582,5
TeD3,1,1,0,1,0,1,1,1,M3,0.754983922829582,6
TeD3,1,1,0,0,1,1,0,0,M3,0.715755627009646,4
TeD3,0,0,1,0,1,0,0,0,M3,0.756270096463022,2
TeD3,0,0,0,1,1,0,0,1,M3,0.781993569131833,3
TeD3,0,1,1,0,0,0,0,1,M3,0.720257234726688,3
TeD3,1,1,1,1,1,1,1,0,M3,0.733762057877814,7
TeD3,0,1,0,0,0,1,1,1,M3,0.756913183279743,4
TeD3,0,0,0,0,1,0,0,1,M3,0.718971061093248,2
TeD3,1,0,1,1,0,0,0,0,M3,0.677170418006431,3
TeD3,1,0,1,1,0,1,1,1,M3,0.741479099678457,6
TeD3,1,1,0,1,0,0,0,0,M3,0.670739549839228,3
TeD3,0,1,0,1,0,0,0,0,M3,0.631511254019293,2
TeD3,1,1,0,0,0,0,0,1,M3,0.740836012861736,3
TeD3,0,0,1,1,1,0,1,1,M3,0.753697749196141,5
TeD3,0,0,1,0,0,0,1,0,M3,0.727331189710611,2
TeD3,1,1,1,1,1,1,1,1,M3,0.748553054662379,8
TeD3,1,1,1,1,1,1,1,1,M3,0.765916398713826,8
TeD3,1,1,1,1,1,1,1,1,M3,0.747909967845659,8
TeD3,1,1,1,1,1,1,1,1,M3,0.740192926045016,8
TeD3,1,1,1,1,1,1,1,1,M3,0.753697749196142,8
TeD4,1,1,0,0,0,1,0,0,M3,0.434558093346574,3
TeD4,1,1,1,0,1,1,1,0,M3,0.534061569016882,6
TeD4,0,1,1,0,0,0,0,0,M3,0.39364448857994,2
TeD4,0,0,1,0,0,0,0,1,M3,0.502681231380338,2
TeD4,0,1,0,1,1,1,1,1,M3,0.553128103277061,6
TeD4,1,0,1,0,0,1,0,0,M3,0.465938430983118,3
TeD4,1,0,1,1,1,1,0,1,M3,0.53604766633565,6
TeD4,1,1,1,0,1,1,0,1,M3,0.551737835153923,6
TeD4,0,0,0,0,0,1,1,0,M3,0.52154915590864,2
TeD4,1,0,0,0,0,1,0,0,M3,0.453426017874876,2
TeD4,0,1,0,0,1,0,1,0,M3,0.513803376365442,3
TeD4,1,0,1,1,1,1,1,1,M3,0.531281032770606,7
TeD4,1,1,0,0,0,0,0,0,M3,0.329294935451837,2
TeD4,0,1,1,0,1,1,0,0,M3,0.514796425024826,4
TeD4,0,0,0,0,0,1,0,1,M3,0.527904667328699,2
TeD4,0,1,0,0,0,1,0,1,M3,0.515988083416087,3
TeD4,0,0,1,1,1,1,1,1,M3,0.55630585898709,6
TeD4,0,0,0,0,1,1,0,0,M3,0.500496524329692,2
TeD4,0,1,0,0,0,0,0,1,M3,0.497715988083416,2
TeD4,0,1,0,0,1,1,1,0,M3,0.527110228401192,4
TeD4,0,1,0,0,0,1,0,0,M3,0.408142999006951,2
TeD4,0,1,0,1,0,1,0,1,M3,0.523733862959285,4
TeD4,1,1,0,0,1,0,0,0,M3,0.479642502482622,3
TeD4,0,1,0,0,1,1,0,1,M3,0.553326713008937,4
TeD4,0,0,1,0,0,1,0,1,M3,0.518172790466733,3
TeD4,0,1,0,1,0,1,0,0,M3,0.464349553128103,3
TeD4,1,1,1,1,1,0,1,0,M3,0.537835153922542,6
TeD4,0,1,1,0,0,0,1,0,M3,0.487189672293942,3
TeD4,1,1,0,1,1,0,1,1,M3,0.559285004965243,6
TeD4,0,1,1,0,0,1,1,0,M3,0.504468718967229,4
TeD4,1,1,1,1,1,0,1,1,M3,0.56643495531281,7
TeD4,1,1,1,0,0,1,1,1,M3,0.558093346573982,6
TeD4,1,0,1,0,0,0,0,0,M3,0.441708043694141,2
TeD4,1,0,1,1,1,0,0,0,M3,0.517775571002979,4
TeD4,0,1,0,0,0,0,1,0,M3,0.464945382323734,2
TeD4,1,1,1,0,0,1,0,0,M3,0.461966236345581,4
TeD4,0,1,1,1,1,1,1,1,M3,0.598808341608739,7
TeD4,0,1,1,0,1,1,0,1,M3,0.543992055610725,5
TeD4,0,0,1,0,0,1,0,0,M3,0.462164846077458,2
TeD4,0,1,1,1,0,1,0,0,M3,0.481231380337637,4
TeD4,0,1,0,0,0,0,1,1,M3,0.537239324726912,3
TeD4,1,0,0,1,0,0,0,0,M3,0.441708043694141,2
TeD4,1,1,1,0,0,0,0,0,M3,0.405163853028798,3
TeD4,0,1,1,0,1,1,1,0,M3,0.555511420059583,5
TeD4,0,1,0,0,1,0,0,0,M3,0.475670307845084,2
TeD4,1,1,1,1,1,1,0,1,M3,0.542601787487587,7
TeD4,0,1,1,0,1,0,0,1,M3,0.540417080436941,4
TeD4,0,1,1,0,0,1,0,0,M3,0.467130089374379,3
TeD4,1,0,1,1,1,1,0,0,M3,0.500893743793446,5
TeD4,0,1,0,0,1,1,0,0,M3,0.515392254220457,3
TeD4,0,1,0,0,0,1,1,0,M3,0.499503475670308,3
TeD4,1,0,1,1,0,0,1,1,M3,0.580734856007944,5
